Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Batman,"$598,091,000","$300,091,000",50.2%,"$298,000,000",49.8%
2,Water Gate Bridge,"$480,203,271","$117,294",<0.1%,"$480,085,977",100%
3,Uncharted,"$337,295,357","$125,895,357",37.3%,"$211,400,000",62.7%
4,Too Cool to Kill,"$217,249,779","$179,933",<0.1%,"$217,069,846",99.9%
5,Scream,"$139,554,459","$81,154,459",58.2%,"$58,400,000",41.8%
6,Death on the Nile,"$130,674,499","$43,574,499",33.3%,"$87,100,000",66.7%
7,Jackass Forever,"$77,455,543","$56,755,543",73.3%,"$20,700,000",26.7%
8,Dog,"$62,091,869","$54,227,993",87.3%,"$7,863,876",12.7%
9,Marry Me,"$49,038,365","$22,339,365",45.6%,"$26,699,000",54.4%
10,Moonfall,"$39,398,041","$19,060,660",48.4%,"$20,337,381",51.6%
11,BTS Permission to Dance on Stage - Seoul: Live Viewing,"$32,600,000","$6,840,000",21%,"$25,760,000",79%
12,The 355,"$27,330,045","$14,570,455",53.3%,"$12,759,590",46.7%
13,Bheemla Nayak,"$15,021,965",-,-,"$15,021,965",100%
14,Valimai,"$14,715,475",-,-,"$14,715,475",100%
15,Blacklight,"$13,863,410","$9,491,019",68.5%,"$4,372,391",31.5%
16,Super-héros malgré lui,"$13,616,829",-,-,"$13,616,829",100%
17,Wunderschön,"$12,626,169",-,-,"$12,626,169",100%
18,Maison de retraite,"$12,028,309",-,-,"$12,028,309",100%
19,The Pirates: The Last Royal Treasure,"$10,266,142",-,-,"$10,266,142",100%
20,Redeeming Love,"$9,436,988","$9,214,020",97.6%,"$222,968",2.4%
21,Vaillante,"$9,337,666",-,-,"$9,337,666",100%
22,The Bad Guys,"$8,488,000",-,-,"$8,488,000",100%
23,Turning Red,"$8,400,000",-,-,"$8,400,000",100%
24,The Last 10 Years,"$7,993,429",-,-,"$7,993,429",100%
25,Doraemon the Movie: Nobita's Little Star Wars 2021,"$6,984,462",-,-,"$6,984,462",100%
26,Kingmaker,"$6,049,436",-,-,"$6,049,436",100%
27,Cyrano,"$5,982,847","$3,702,916",61.9%,"$2,279,931",38.1%
28,The Policeman's Lineage,"$5,869,939",-,-,"$5,869,939",100%
29,Adieu Monsieur Haffmann,"$5,781,484",-,-,"$5,781,484",100%
30,The Duke,"$5,648,959",-,-,"$5,648,959",100%
31,The Cherry Bushido,"$5,116,265","$11,122",0.2%,"$5,105,143",99.8%
32,Chickenhare and the Hamster of Darkness,"$4,622,000",-,-,"$4,622,000",100%
33,The Cursed,"$4,586,807","$4,586,807",100%,-,-
34,Waiting for Bojangles,"$4,457,845",-,-,"$4,457,845",100%
35,X,"$4,407,750","$4,407,750",100%,-,-
36,Ambulance,"$4,378,000",-,-,"$4,378,000",100%
37,Pawankhind,"$4,260,236",-,-,"$4,260,236",100%
38,Bheeshma Parvam,"$4,008,352",-,-,"$4,008,352",100%
39,The Godfather 2022 Re-release,"$3,999,963","$1,199,963",30%,"$2,800,000",70%
40,Koniec swiata czyli Kogel Mogel 4,"$3,957,350",-,-,"$3,957,350",100%
